10893 -1 1 20 47 30 33 20 26 17 23 17 24 14 24 13 24 14 25 14 25 15 26 15 25 16 23 15 26 16 22 16 23 16 23 16 22 16 23 16 23 16 23 16 23 15 26 15 25 14 25 14 25 15 25 15 25 14 25 14 24 14 24 13 24 13 24 14 24 14 24 14 25 13 24 14 25 14 25 14 25 13 25 14 25 13 24 13 24 13 24 13 24 13 23 15 26 14 25 14 25 15 26 16
11914 0 3 42 33 22 27 18 24 14 23 17 23 17 22 16 22 16 21 16 21 15 24 14 23 17 23 16 22 16 22 16 23 16 22 16 22 16 22 16 22 16 22 15 25 15 25 15 24 14 24 14 24 14 23 16 23 16 22 15 25 14 24 14 24 13 25 13 24 13 24 12 24 12 23 16 23 15 26 14 26 14 25 12 25 12 24 12 24 12 24 13 24 13 24 13 24 13 24 13 23 16 22 15
12928 3 8 63 36 19 30 15 29 14 27 13 27 12 26 11 25 12 25 11 25 11 25 12 25 12 24 11 24 11 23 13 26 13 25 12 24 11 24 11 24 11 24 11 23 13 25 13 25 12 25 13 24 12 24 12 24 11 23 14 26 14 25 13 24 12 24 12 23 14 26 14 25 13 25 13 24 12 23 14 25 13 24 13 24 12 23 14 26 14 24 13 23 16 23 15 26 15 25 13 25 13 24 12
13940 9 12 82 24 34 15 29 14 28 13 27 12 26 11 25 11 25 10 25 10 24 10 24 10 24 9 24 9 24 9 24 9 24 9 24 9 24 9 24 9 24 9 23 11 26 11 26 10 26 10 25 10 25 9 25 9 25 9 25 9 25 8 25 8 24 8 24 8 24 9 24 9 23 12 25 12 24 12 23 14 26 13 25 13 25 13 21 15 26 13 26 12 26 11 25 11 26 11 26 10 27 9 26
14955 9 20 81 27 21 24 18 21 17 19 16 19 16 17 15 20 17 20 17 20 16 20 16 20 15 21 17 21 16 21 17 22 15 23 17 22 16 22 15 25 14 24 14 24 13 24 13 23 16 23 15 25 14 25 21 16 20 16 20 15 22 17 21 16 20 17 12 21 15 24 15 23 18 22 17 20 18 21 16 20 15 22 17 21 17 20 16 18 16 18 15 21 17 20 16 19 16 19 15 21 16 20 16
15968 11 28 80 32 20 24 16 20 15 23 18 22 17 21 16 20 16 20 15 22 17 20 16 20 15 22 17 20 16 20 16 19 15 22 17 21 17 20 15 22 18 22 16 20 15 22 17 22 16 20 16 20 15 21 17 21 15 23 17 21 16 20 15 22 16 21 13 25 11 25 10 25 10 23 13 26 12 24 11 24 10 22 13 25 13 23 16 21 14 22 17 21 16 20 15 22 18 21 17 21 16 20 16
16980 9 27 82 24 30 18 25 12 23 15 26 14 25 13 24 12 24 12 23 14 26 14 24 13 23 15 25 13 24 13 23 15 25 14 24 13 24 12 22 14 25 13 25 13 23 15 25 13 24 13 24 13 24 12 23 14 24 13 23 15 26 13 24 11 25 9 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255
17995 6 35 77 219 5 255 5 254 4 255 4 255 3 255 2 255 1 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 250 1 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 255 0 87 49 44 27 29 20 23 18
19007 8 28 81 30 26 22 21 22 19 21 17 19 18 17 17 16 16 16 16 15 18 17 17 16 16 16 16 15 18 18 17 16 16 16 16 15 18 17 17 16 15 19 17 17 17 16 16 16 15 18 18 18 17 17 16 16 16 16 16 15 18 19 17 17 16 16 15 19 17 18 17 18 15 20 16 19 16 18 15 20 16 19 15 20 17 19 16 18 15 20 17 19 16 18 15 20 16 19 16 17 15 19 17
20020 8 27 81 26 28 20 22 18 20 16 20 16 18 15 20 16 18 15 20 17 20 16 18 16 17 15 19 17 18 15 20 17 19 16 17 15 19 17 18 15 20 17 18 15 20 18 18 16 18 15 19 16 18 16 17 14 18 16 17 15 19 17 17 16 17 14 19 17 18 15 20 16 18 16 17 15 19 16 18 15 20 16 18 14 20 16 19 16 17 15 19 16 18 15 20 17 18 16 17 15 18 17 17
21035 14 37 74 27 25 20 19 18 18 17 16 17 16 15 18 17 16 16 15 18 17 17 16 16 16 16 15 18 17 17 16 16 15 18 17 16 16 15 18 17 17 17 17 17 16 16 16 16 15 18 18 17 17 17 16 16 16 16 16 15 18 18 17 16 16 15 17 16 16 15 18 17 16 16 16 15 17 16 16 16 16 16 15 18 17 17 16 16 16 16 15 17 18 17 14 20 17 19 16 19 16 35 26
22047 13 20 81 62 65 56 55 48 45 40 36 34 32 30 32 31 35 34 39 38 48 41 54 47 64 50 67 53 72 53 76 54 76 54 75 53 78 55 82 59 87 62 89 62 83 58 71 54 67 50 64 47 61 49 64 48 62 51 66 51 58 50 69 57 74 62 84 68 101 76 117 84 137 87 166 62 202 11 250 5 250 3 255 1 255 0 255 0 255 1 255 0 255 1 255 2 255 0 255 0 255 0 255
